host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
3294357,Grace,downtown,first hill,47.61311,-122.32947,Entire home/apt,175.0,30,87,2024-05-01,0.61,1,214,5
3340441,Roberta,central area,harrison/denny-blaine,47.62563,-122.29181,Entire home/apt,195.0,30,25,2023-09-24,0.34,1,310,11
3396093,Elisa,other neighborhoods,greenwood,47.69132,-122.36279,Entire home/apt,212.459747172322,3,9,2024-01-28,0.06,3,0,5
3396093,Elisa,other neighborhoods,greenwood,47.6911,-122.36467,Private room,212.459747172322,1,12,2024-06-23,0.12,3,0,11
30559,Angielena,other neighborhoods,georgetown,47.55041,-122.31857,Private room,96.0,2,133,2024-05-28,0.93,10,346,9
926885,Jamie & Kyle,delridge,south delridge,47.52957,-122.36013,Entire home/apt,130.0,1,297,2024-06-09,3.84,2,95,43
3520873,Philippe,other neighborhoods,broadview,47.72131,-122.35846,Private room,146.0,30,17,2021-10-01,0.12,1,364,0
1611114,Craig,other neighborhoods,wallingford,47.65144,-122.33734,Entire home/apt,265.0,4,215,2023-10-24,1.5,1,77,8
3620313,Catherine,queen anne,north queen anne,47.64057,-122.36956,Entire home/apt,194.0,1,355,2024-06-09,2.53,1,118,13
316200,William,cascade,eastlake,47.64,-122.32412,Entire home/apt,81.0,30,143,2024-06-02,1.02,7,112,5
3740695,BleuPapillon,central area,harrison/denny-blaine,47.61896,-122.28818,Entire home/apt,524.0,30,50,2017-08-13,0.35,2,89,0
3737272,Cheryl & Steve,northgate,maple leaf,47.69839,-122.31505,Entire home/apt,134.0,2,191,2024-06-15,1.38,1,330,10
3932149,Amy,other neighborhoods,phinney ridge,47.67846,-122.36325,Entire home/apt,61.0,30,85,2021-05-31,0.6,1,248,0
3991908,Becky,queen anne,east queen anne,47.63349,-122.35611,Entire home/apt,479.0,4,499,2024-06-13,3.53,1,257,29
4181120,Candace,beacon hill,north beacon hill,47.57734,-122.31492,Entire home/apt,121.0,6,327,2024-06-11,2.33,1,19,10
4199445,Liam,rainier valley,mount baker,47.57265,-122.29136,Private room,212.459747172322,2,181,2023-08-17,1.54,2,0,4
4133943,Jill,rainier valley,mount baker,47.58548,-122.29458,Entire home/apt,109.0,3,210,2024-06-08,1.53,1,291,27
4411144,Emma,downtown,belltown,47.61503,-122.3475,Entire home/apt,198.0,1,267,2024-06-14,1.93,2,310,59
4421734,Tara,other neighborhoods,ravenna,47.67995,-122.30859,Private room,60.0,30,80,2023-11-18,0.57,1,283,4
3396093,Elisa,other neighborhoods,greenwood,47.68957,-122.36296,Entire home/apt,212.0,7,7,2024-02-19,0.07,3,20,4
287172,Laura,central area,atlantic,47.60029,-122.30185,Private room,53.0,30,107,2024-01-24,0.78,2,299,4
287172,Laura,central area,atlantic,47.60096,-122.3019,Private room,53.0,30,106,2024-05-28,0.76,2,228,7
3264544,Fabio,delridge,highland park,47.52383,-122.35287,Entire home/apt,83.0,2,276,2024-06-15,2.01,6,309,22
4678869,Errin,ballard,west woodland,47.66617,-122.36693,Entire home/apt,130.0,3,560,2024-06-21,4.05,1,299,48
365687,Erik,capitol hill,broadway,47.62845,-122.32513,Entire home/apt,242.0,2,570,2024-06-08,4.17,1,270,67
3169976,Valerie,other neighborhoods,laurelhurst,47.66308,-122.2838,Private room,65.0,30,7,2024-04-20,0.05,1,31,2
5486919,Nicole,west seattle,north admiral,47.58246,-122.39668,Entire home/apt,200.0,2,240,2024-06-10,1.79,1,71,13
5567436,Larry & Suzi,capitol hill,broadway,47.63948,-122.32236,Private room,145.0,30,36,2019-10-20,0.27,1,296,0
5635244,Shannon,ballard,whittier heights,47.67936,-122.3704,Entire home/apt,150.0,2,382,2024-06-07,2.88,2,234,23
5736221,Lene & Johnny,capitol hill,madison park,47.63326,-122.28009,Entire home/apt,140.0,2,404,2024-06-11,2.98,1,264,42
5774906,Carter,west seattle,fauntleroy,47.52586,-122.38272,Entire home/apt,229.0,2,495,2024-06-15,3.64,1,195,51
6031552,Jeanie,rainier valley,mount baker,47.56692,-122.28106,Entire home/apt,121.0,30,320,2023-08-28,2.37,1,320,7
3921530,Ann Petrich,other neighborhoods,fremont,47.65417,-122.35402,Private room,79.0,5,370,2024-06-15,3.01,3,42,11
5856339,Anne And Peter,queen anne,west queen anne,47.63555,-122.365,Entire home/apt,145.0,7,59,2023-08-10,0.43,1,289,3
165390,SeattleStays - Seth Gordon,other neighborhoods,wallingford,47.66215,-122.33879,Entire home/apt,212.459747172322,4,79,2023-09-22,0.59,2,0,1
1121532,Melissa,capitol hill,broadway,47.62383,-122.32381,Entire home/apt,157.0,30,145,2024-06-01,1.07,10,345,4
3074414,Melissa,university district,university district,47.65908,-122.31771,Entire home/apt,128.0,30,37,2022-09-24,0.27,132,206,0
3074414,Melissa,other neighborhoods,ravenna,47.66988,-122.29925,Entire home/apt,128.0,30,18,2019-08-18,0.14,132,105,0
928640,Carla,rainier valley,columbia city,47.5533,-122.27682,Entire home/apt,70.0,30,1,2022-10-09,0.05,1,90,0
3921530,Ann Petrich,other neighborhoods,fremont,47.65474,-122.3526,Private room,80.0,5,329,2024-05-20,2.45,3,62,10
6305984,Sarah,university district,university district,47.67113,-122.31419,Entire home/apt,300.0,30,19,2022-07-27,0.14,1,244,0
30832,Siena C.C.,downtown,first hill,47.61248,-122.32861,Entire home/apt,308.0,3,111,2024-06-21,0.83,5,177,21
1787819,Saint,downtown,first hill,47.61385,-122.32245,Entire home/apt,173.0,30,171,2023-11-24,1.27,2,147,16
4485958,Phil And Andrea,central area,madrona,47.60962,-122.2952,Entire home/apt,89.0,3,651,2024-06-08,4.84,2,21,52
6432543,Jenny,ballard,loyal heights,47.6781,-122.38932,Entire home/apt,215.0,5,25,2023-08-21,0.19,1,9,3
6584748,Sean And Karla,west seattle,gatewood,47.53029,-122.38604,Private room,99.0,1,329,2024-06-16,2.44,2,44,21
6654033,April King,northgate,haller lake,47.73206,-122.33943,Entire home/apt,212.459747172322,30,68,2024-04-27,0.51,1,0,1
1025723,Dirk & Jaq,downtown,first hill,47.61215,-122.32971,Entire home/apt,261.0,3,440,2024-06-14,3.28,2,88,44
6846442,Laurie,other neighborhoods,phinney ridge,47.67758,-122.35822,Entire home/apt,107.0,2,290,2024-06-21,2.16,1,191,22
3009864,Jessica,magnolia,lawton park,47.66046,-122.40292,Entire home/apt,230.0,20,148,2024-01-16,1.1,1,59,7
4193,Jessica,rainier valley,dunlap,47.53112,-122.27627,Entire home/apt,118.0,30,7,2018-08-24,0.06,3,296,0
3074414,Melissa,university district,university district,47.66456,-122.3046,Entire home/apt,180.0,30,30,2024-06-01,0.24,132,143,1
7066141,Kimberly,central area,leschi,47.60179,-122.29357,Entire home/apt,212.459747172322,2,36,2024-03-09,1.43,1,0,18
468703,Corinne & Tom,ballard,loyal heights,47.68359,-122.38034,Entire home/apt,111.0,2,356,2024-06-10,2.9,1,108,21
946910,Nathan,other neighborhoods,wallingford,47.66669,-122.33687,Private room,55.0,30,6,2019-10-01,0.04,1,60,0
6592975,Huong And Bill,central area,atlantic,47.59674,-122.30964,Entire home/apt,98.0,30,257,2024-06-09,1.93,1,174,3
5112492,Leah,capitol hill,broadway,47.62195,-122.32262,Private room,50.0,30,177,2023-03-31,1.33,4,151,0
1121532,Melissa,capitol hill,broadway,47.62235,-122.32594,Entire home/apt,157.0,30,191,2024-04-30,1.46,10,318,3
3074414,Melissa,university district,university district,47.66178,-122.30149,Entire home/apt,148.0,30,37,2023-12-12,0.28,132,307,1
6136210,Nicole,ballard,west woodland,47.67306,-122.36651,Private room,70.0,30,27,2019-09-05,0.22,1,365,0
3074414,Melissa,university district,university district,47.66139,-122.31495,Entire home/apt,120.0,30,40,2022-09-21,0.3,132,297,0
